59,64.8,72.33,30,34.6,40.33,0,0,0,0,0
69,65.2,71.67,31,34.2,48.67,0,0,0.22,3,0
76,64.8,72.33,41,35,52.67,0,0,0.6,1,0
72,67.4,71.67,49,37.2,55.67,0.22,0.22,0.6,6,0
67,68.6,72.67,56,41.4,51.67,0.38,0.6,0.43,8,0
78,72.4,66,53,46,46.67,0,0.6,0.23,3,0
70,72.6,62.33,58,51.4,38,0.05,0.43,0.23,9,0
70,71.4,60.67,44,52,33.67,0.18,0.23,0.18,8,0
58,68.6,68,38,49.8,35,0,0.23,0.02,2,0
59,67,71.33,32,45,39,0,0.18,0.02,8,0
65,64.4,74,31,40.6,41.67,0.02,0.02,0.02,4,0
80,66.4,71.33,42,37.4,42.33,0,0.02,0,0,0
69,66.2,75.33,44,37.4,46,0,0.02,0.1,1,0
73,69.2,77.67,39,37.6,49.67,0,0,0.13,4,0
72,71.8,76.33,44,40,51.67,0.1,0.1,0.18,7,0
81,75,74.67,55,44.8,51,0.03,0.13,0.39,5,0
80,75,71.67,50,46.4,50.33,0.05,0.18,0.65,5,0
68,74.8,66,50,47.6,47,0.31,0.39,0.91,10,0
76,75.4,60,53,50.4,42.33,0.29,0.65,0.91,8,0
71,75.2,60,48,51.2,38.67,0.31,0.91,0.67,9,0
51,69.2,67.33,40,48.2,38.33,0.31,0.91,0.36,10,0
58,64.8,71.33,39,46,44.33,0.05,0.67,0.05,8,0
71,65.4,76.67,37,43.4,51.67,0,0.36,1.02,1,0
73,64.8,83,39,40.6,58.67,0,0.05,1.02,2,0
70,64.6,89.67,57,42.4,61,1.02,1.02,1.02,9,0
87,71.8,90,59,46.2,63.67,0,1.02,0,1,1
92,78.6,85.33,60,50.4,62,0,1.02,0.005,1,1
90,82.4,79,64,55.8,56,0,0,0.395,0,1
88,85.4,74,67,61.4,49,0.005,0.005,0.395,1,1
78,87,72.67,55,61,47.67,0.39,0.395,0.39,7,0
71,83.8,68,46,58.4,50,0,0.395,0.05,1,1
73,80,69.67,46,55.6,52,0,0.39,1.94,2,1
74,76.8,71.67,51,53,52.33,0.05,0.05,2.79,1,0
57,70.6,76,53,50.2,52,1.89,1.94,2.74,10,0
78,70.6,71,52,49.6,53,0.85,2.79,1.63,8,0
80,72.4,68,52,50.8,53.33,0,2.74,1.7,2,1
70,71.8,66.67,52,52,52,0.78,1.63,1.75,8,0
63,69.6,70.67,55,52.8,50.67,0.92,1.7,1.71,10,0
71,72.4,73,53,52.8,50.33,0.05,1.75,1.67,8,0
66,70,76,48,52,50.67,0.74,1.71,1.62,6,0
75,69,79.33,51,51.8,51.67,0.88,1.67,0.88,6,0
78,70.6,78,52,51.8,53,0,1.62,0.96,0,1
75,73,78,49,50.6,54,0,0.88,1.35,5,1
85,75.8,75.33,54,50.8,52,0.96,0.96,1.41,3,0
74,77.4,78.67,56,52.4,52.33,0.39,1.35,0.46,7,0
75,77.4,81.67,52,52.6,54.67,0.06,1.41,0.07,1,0
77,77.2,85.33,48,51.8,60,0.01,0.46,0.01,1,0
84,79,88,57,53.4,63.67,0,0.07,0.005,1,1
84,78.8,90,59,54.4,66.67,0,0.01,0.025,0,1
88,81.6,88.67,64,56,67.67,0.005,0.005,0.025,3,1
92,85,82.67,68,59.2,65.33,0.02,0.025,0.08,0,1
90,87.6,80,68,63.2,62.33,0,0.025,0.17,0,1
84,87.6,81.33,67,65.2,58.33,0.06,0.08,0.44,6,0
74,85.6,85,61,65.6,60.33,0.11,0.17,0.38,10,0
82,84.4,85.67,59,64.6,64,0.27,0.44,0.29,7,0
88,83.6,84.33,55,62,65.67,0,0.38,0.03,0,0
85,82.6,85.67,67,61.8,63.33,0.02,0.29,0.035,2,1
84,82.6,88.33,70,62.4,63.67,0.01,0.03,0.02,9,0
84,84.6,91.33,60,62.2,68.33,0.005,0.035,0.01,7,0
89,86,92,60,62.4,71.33,0.005,0.02,0.005,2,1
92,86.8,91.67,71,65.6,69,0,0.01,0,1,1
93,88.4,89,74,67,65.67,0,0.005,0.03,1,1
91,89.8,83,69,66.8,64,0,0,0.035,3,1
91,91.2,81.67,64,67.6,64.67,0.03,0.03,0.035,2,1
